uraian pekerjaan,section,pekerjaan,satuan, volume , harga satuan , nilai , bobot ,,,
Pembersihan Lokasi,A,PEKERJAAN PERSIAPAN,m²,514.58,16387.5,8432667.13,0.32,,,
Pasang Papan Nama,A,PEKERJAAN PERSIAPAN,ls,1,100000,100000,0.0038,,,
Pek. Timbunan + Perataan,A,PEKERJAAN PERSIAPAN,m³,428.82,180440.61,77375825.99,"29,365",,,
Penyediaan SMK3 :,A,PEKERJAAN PERSIAPAN,ls,1,7096149.6,7096149.6,0.2693,,,
Pengukuran dan Pasang Bowplank,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN 1 UNIT RUMAH,m',380,123939.87,47097150.6,"17,874",,,
Galian Tanah Pondasi ,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³,369.52,76618.75,28312160.5,"10,745",,,
Galian Tanah Strous Pile,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m',226.08,100000,22608000,0.858,,,
Urugan Tanah Kembali,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³,110.86,55487.5,6151122.3,0.2334,,,
Urugan Sirtu Peninggian Lantai,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³,122.37,180239.5,22055429.62,0.837,,,
Urugan Pasir Bawah Pondasi,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³,23.9,210875.5,5038870.07,0.1912,,,
Urugan Pasir Bawah Lantai,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN TANAH & GALIAN,m³,69.9,210875.5,14740197.45,0.5594,,,
Lantai Kerja Poer Tebal 10 cm,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m³,2.56,153417.13,392747.85,0.0149,,,
Beton Poer 160/100 Tebal 30 cm (150kg Pembesian+Bekisting),B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m³,7.68,1935445.98,14864225.09,0.5641,,,
Beton Pedestal 20/20 K-225   f'c = 193 M Pa,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3,0.96,1173905.62,1126949.39,0.0428,,,
Beton K-225 molen mix Strous Ø 30,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3,16.96,1173905.62,19904743.62,0.7554,,,
Tulangan Utama Besi 6 Ø 12 polos Strous Ø 30,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,852.25,13568.28,11563556.94,0.4389,,,
Begel Ø 8-150 polos Strous Ø 30,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,99.11,13568.28,1344798.84,0.051,,,
Bekisting 2x Pemakaian Strous Ø 30,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m²,226.08,79037.49,17868795.17,0.6781,,,
Beton K-225 molen mix Sloof 15/20,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3,18.89,1173905.62,22169207.56,0.8414,,,
Tulangan Utama Besi 4 Ø 12 polos Sloof 15/20,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,2235.38,13568.28,30330246.23,"11,511",,,
Begel Ø 8-150 polos Sloof 15/20,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,993.5,13568.28,13480109.43,0.5116,,,
Bekisting 2x Pemakaian Sloof 15/20,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m²,251.8,79037.49,19901639.35,0.7553,,,
Beton K-225 molen mix Kolom 1 15/25,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3,2.86,1173905.62,3358837.44,0.1275,,,
Tulangan Utama Besi 6 Ø 12 polos Kolom 1 15/25,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,406.42,13568.28,5514371.22,0.2093,,,
Begel Ø 10-120 polos Kolom 1 15/25,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,274.39,13568.28,3723051.55,0.1413,,,
Bekisting 2x Pemakaian Kolom 1 15/25,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m²,61.04,89903.21,5487691.63,0.2083,,,
Beton K-225 molen mix Balok 1 15/20,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3,3.3,1173905.62,3873888.53,0.147,,,
Tulangan Utama Besi 4 Ø 12 polos Balok 1 15/20,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,390.61,13568.28,5299963.6,0.2011,,,
Begel Ø 6-150 polos Balok 1 15/20,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,97.65,13568.28,1324990.9,0.0503,,,
Bekisting 2x Pemakaian Balok 1 15/20,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m²,44,89903.21,3955741.02,0.1501,,,
Kolom Praktis,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m',520,89903.21,46749666.6,"17,742",,,
Beton K-225 molen mix Ring Balok 10/15,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3,6.02,1173905.62,7061042.28,0.268,,,
Tulangan Utama Besi 4 Ø 10 polos Ring Balok 10/15,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,988.87,13568.28,13417205.83,0.5092,,,
Begel Ø 6-150 polos Ring Balok 10/15,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,kg,355.99,13568.28,4830194.1,0.1833,,,
Bekisting 2x Pemakaian Ring Balok 10/15,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m²,120.3,79037.49,9508209.75,0.3609,,,
Plat Beton Meja Dapur (150kg pembesian polos + bekisting),B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3,1.38,4402188.54,6064454.93,0.2302,,,
Plat Atap Tebal 10 cm  (150kg pembesian polos + bekisting),B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN BETON,m3,10.5,4402188.54,46222979.65,"17,542",,,
Pas. Anstampeng,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PASANGAN PONDASI DAN DINDING,m3,125.9,498857.58,62806169.32,"23,836",,,
Pas. Batu Kali 1 PC : 6 Ps,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PASANGAN PONDASI DAN DINDING,m3,276.98,839688.26,232576852.9,"88,266",,,
Pasangan dinding bata merah 1 Pc : 4 Psr ,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PASANGAN PONDASI DAN DINDING,m²,1600.87,133573.19,213833045.5,"81,153",,,
Pasangan Flexiwall,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PASANGAN PONDASI DAN DINDING,m²,160.35,44311.23,7105127.68,0.2696,,,
Plesteran & Acian 1 Pc  : 4 Psr,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PASANGAN PONDASI DAN DINDING,m²,3201.74,63605.58,203648275.3,"77,287",,,
Pasang Kusen Pintu &  Jendela Aluminium,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,m',135.8,144622.85,19639783.03,0.7454,,,
Pasang Daun Jendela Aluminium ,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,m²,19.08,262428.85,5007142.46,0.19,,,
Pasang  Pintu Type P1,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,Unit,10,8280716.45,82807164.5,"31,426",,,
Pasang  Pintu Type P2,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,Unit,30,8280716.45,248421493.5,"94,279",,,
Pasang Pintu Type P4,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,Unit,10,2300000,23000000,0.8729,,,
Pasang Pintu Type PG1,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,Unit,10,1200000,12000000,0.4554,,,
Pasang Engsel Jendela Alluminium,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,Bh,60,22146.13,1328767.5,0.0504,,,
Pasang Grendel Jendela Alluminium,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,Bh,30,64532.25,1935967.5,0.0735,,,
Pasang Hak Angin Jendela,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN KUSEN PINTU JENDELA & AKSESORIS,Bh,60,36512.5,2190750,0.0831,,,
Pas. Kramik 60 x 60 Polished,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN LAPISAN LANTAI DAN DINDING,m²,413.9,413480.37,171139526.2,"64,950",,,
Pas. Kramik Dinding KM 30 x 60 cm,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN LAPISAN LANTAI DAN DINDING,m²,133.2,466421.14,62127295.85,"23,578",,,
Pas. Kramik 60 x 60 Unpolished,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN LAPISAN LANTAI DAN DINDING,m²,22.5,422295.12,9501640.26,0.3606,,,
Pas. Rangka Atap Baja Ringan,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN ATAP,m²,550.5,243549.3,134073889.7,"50,883",,,
Pas. Penutup Atap Genteng Onduvila,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN ATAP,m²,550.5,245887.02,135360804.5,"51,371",,,
Pas. Genteng Bumbungan,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN ATAP,m²,60,245887.02,14753221.2,0.5599,,,
Pas. Rangka Plafond Metal Furing,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PLAFON,m²,339,153962,52193118,"19,808",,,
Pas. Gypsumboard (120x240) 9 mm,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PLAFON,m²,339,45684.9,15487181.1,0.5878,,,
Pas. List Plafon,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PLAFON,m',566,39433.5,22319361,0.8471,,,
"Pipa PVC AW 3/4 "" Instalasi Air Bersih",B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,m',150,30109.3,4516395,0.1714,,,
"Pipa PVC AW 1/2"" Instalasi Air Bersih",B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,m',90,27970.3,2517327,0.0955,,,
"Pipa PVC AW 1"" Instalasi Air Bersih",B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,m',500,47298.35,23649175,0.8975,,,
Pompa Air Jet pump Shimizu PC 268 BIT Instalasi Air Bersih,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,Unit,10,46700,467000,0.0177,,,
Kran Leher angsa Instalasi Air Bersih,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,bh,10,151917.88,1519178.75,0.0577,,,
Bak cuci stainlessteel Instalasi Air Bersih,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,bh,10,443408.38,4434083.75,0.1683,,,
Kran Air Instalasi Air Bersih,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,bh,30,99247.88,2977436.25,0.113,,,
Klosed duduk putih  Instalasi Air Bersih,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,bh,10,4084460.75,40844607.5,"15,501",,,
Jet Washer Instalasi Air Bersih,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,bh,10,252876.38,2528763.75,0.096,,,
Shower mandi stainless  Instalasi Air Bersih,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,bh,10,312676.38,3126763.75,0.1187,,,
Tandon Air Profiltank 250 L  Instalasi Air Bersih,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,bh,10,693000,6930000,0.263,,,
"Pipa PVC AW 3"" Instalasi Air Kotor",B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,m',127.5,130006.35,16575809.63,0.6291,,,
Floor drain Stainless Instalasi Air Kotor,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,bh,10,360381.25,3603812.5,0.1368,,,
Saptiktank +  Resapan Instalasi Air Kotor,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN SANITASI AIR,Unit,10,7523083.71,75230837.12,"28,551",,,
Penambahan Daya Listrik,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN MEKNIKAL ELEKTRIKAL,VA,13000,1469,19097000,0.7248,,,
Pas. Instalasi Lampu Dan Sakelar,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN MEKNIKAL ELEKTRIKAL,Ttk,120,124315,14917800,0.5662,,,
Pas. Instalasi Stop Kontak,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN MEKNIKAL ELEKTRIKAL,Ttk,40,283538.25,11341530,0.4304,,,
"Pas. Lampu Pijar bulat LED 14 Watt
",B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN MEKNIKAL ELEKTRIKAL,bh,70,137770,9643900,0.366,,,
Pas. Stop Kontak,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN MEKNIKAL ELEKTRIKAL,bh,40,114810.25,4592410,0.1743,,,
Pas. Sakelar Ganda,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN MEKNIKAL ELEKTRIKAL,bh,20,61208.75,1224175,0.0465,,,
Pas. Sakelar Tunggal,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN MEKNIKAL ELEKTRIKAL,bh,30,59368.75,1781062.5,0.0676,,,
Cat Dinding,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PENGECATAN,m²,3201.74,31415.7,100584777.7,"38,173",,,
Cat Plafon,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PENGECATAN,m²,339,20818.77,7057561.76,0.2678,,,
Cat Wateroofing,B PEKERJAAN 1 UNIT RUMAH,PEKERJAAN PENGECATAN,m²,105,31232.28,3279388.88,0.1245,,,
